# TEST CONFIGURATION BEGIN
# FileStream(filename='df_train.csv', target_idx=-1, n_targets=1, cat_features=None)
# [arf_PageHinkley] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=PageHinkley(alpha=0.9999, delta=0.005, min_instances=30, threshold=50), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=PageHinkley(alpha=0.9999, delta=0.005, min_instances=30, threshold=50))
# [arf_ADWIN] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.002), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.002))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=359935, max_time=inf, metrics=['accuracy', 'f1'], n_wait=200, output_file='results_train.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[arf_PageHinkley],current_acc_[arf_PageHinkley],mean_acc_[arf_ADWIN],current_acc_[arf_ADWIN],mean_f1_[arf_PageHinkley],current_f1_[arf_PageHinkley],mean_f1_[arf_ADWIN],current_f1_[arf_ADWIN]
1000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1003,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1199,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1399,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1599,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1799,0.997500,0.990000,0.995000,0.980000,0.998675,0.993548,0.997354,0.987179
1999,0.998000,1.000000,0.996000,1.000000,0.998675,0.000000,0.997354,0.000000
2199,0.998333,1.000000,0.996667,1.000000,0.998675,0.000000,0.997354,0.000000
2399,0.998571,1.000000,0.997143,1.000000,0.998675,0.000000,0.997354,0.000000
2599,0.998750,1.000000,0.997500,1.000000,0.998675,0.000000,0.997354,0.000000
2799,0.996667,0.980000,0.995556,0.980000,0.996508,0.980769,0.995349,0.980769
2999,0.997000,1.000000,0.996000,1.000000,0.997167,1.000000,0.996226,1.000000
3199,0.995000,0.975000,0.994545,0.980000,0.995131,0.964539,0.994690,0.971429
3399,0.995417,1.000000,0.995000,1.000000,0.995131,0.000000,0.994690,0.000000
3599,0.994231,0.980000,0.993846,0.980000,0.993835,0.977011,0.993426,0.977011
3799,0.994643,1.000000,0.994286,1.000000,0.994705,1.000000,0.994354,1.000000
3999,0.995000,1.000000,0.994667,1.000000,0.995360,1.000000,0.995053,1.000000
4199,0.995313,1.000000,0.995000,1.000000,0.995871,1.000000,0.995597,1.000000
4399,0.995588,1.000000,0.995294,1.000000,0.996281,1.000000,0.996034,1.000000
4599,0.995833,1.000000,0.995556,1.000000,0.996616,1.000000,0.996392,1.000000
4799,0.996053,1.000000,0.995789,1.000000,0.996896,1.000000,0.996690,1.000000
4999,0.994750,0.970000,0.994750,0.975000,0.995865,0.975610,0.995865,0.979592
5199,0.995000,1.000000,0.995000,1.000000,0.995865,0.000000,0.995865,0.000000
5399,0.994545,0.985000,0.994091,0.975000,0.995446,0.984293,0.995065,0.973545
5599,0.994783,1.000000,0.994348,1.000000,0.995767,1.000000,0.995413,1.000000
5799,0.995000,1.000000,0.994583,1.000000,0.996046,1.000000,0.995715,1.000000
5999,0.995200,1.000000,0.994800,1.000000,0.996291,1.000000,0.995980,1.000000
6199,0.995385,1.000000,0.995000,1.000000,0.996507,1.000000,0.996214,1.000000
